cat1_es,cat2_es,cat1_code,cat1_zh,cat2_zh,review_status,notes
Juguetes,Accesorios de oficina,C12,玩具,办公配件,CAT1_CONFIRMED,15 类固定映射
Juguetes,Accesorios de viaje,C12,玩具,,CAT1_CONFIRMED,15 类固定映射
Juguetes,Artículos de fiesta,C12,玩具,派对用品,CAT1_CONFIRMED,15 类固定映射
Juguetes,Artículos de papel,C12,玩具,纸品,HUMAN_REVIEWED,15 类固定映射
Juguetes,Coches de juguete,C12,玩具,,HUMAN_REVIEWED,15 类固定映射
Juguetes,Colorear y dibujar,C12,玩具,涂色和绘画,HUMAN_REVIEWED,15 类固定映射
Juguetes,Decoración,C12,玩具,家居装饰,HUMAN_REVIEWED,15 类固定映射
Juguetes,Juegos,C12,玩具,游戏,HUMAN_REVIEWED,15 类固定映射
Juguetes,Juegos simbólicos y de construcción,C12,玩具,角色扮演和建构游戏,HUMAN_REVIEWED,15 类固定映射
Juguetes,Juguetes de exterior,C12,玩具,,HUMAN_REVIEWED,15 类固定映射
Juguetes,Juguetes para bebés,C12,玩具,,HUMAN_REVIEWED,15 类固定映射
Juguetes,Manualidades,C12,玩具,手工制作,HUMAN_REVIEWED,15 类固定映射
Juguetes,Manualidades para niños,C12,玩具,,HUMAN_REVIEWED,15 类固定映射
Juguetes,Material escolar,C12,玩具,学习用品,HUMAN_REVIEWED,15 类固定映射
Juguetes,Papelería,C12,玩具,文具,HUMAN_REVIEWED,15 类固定映射
Juguetes,Peluches y muñecas,C12,玩具,毛绒玩具和娃娃,HUMAN_REVIEWED,15 类固定映射
Juguetes,Pintura,C12,玩具,,CAT1_CONFIRMED,15 类固定映射
Juguetes,Puzles,C12,玩具,,HUMAN_REVIEWED,15 类固定映射
Mascotas,,C03,宠物用品,,CAT1_CONFIRMED,15 类固定映射
Mascotas,Alimentación para animales,C03,宠物用品,,HUMAN_REVIEWED,15 类固定映射
Mascotas,Gato,C03,宠物用品,,HUMAN_REVIEWED,15 类固定映射
Mascotas,Juguetes para mascotas,C03,宠物用品,宠物玩具,HUMAN_REVIEWED,15 类固定映射
Mascotas,Necesidades de los animales,C03,宠物用品,,HUMAN_REVIEWED,15 类固定映射
Mascotas,Perro,C03,宠物用品,,HUMAN_REVIEWED,15 类固定映射
Moda,,C05,服饰鞋包,,CAT1_CONFIRMED,15 类固定映射
Moda,Accesorios,C05,服饰鞋包,配饰,HUMAN_REVIEWED,15 类固定映射
Moda,Accesorios para el cabello,C05,服饰鞋包,发饰,HUMAN_REVIEWED,15 类固定映射
Moda,Relojes y joyas,C05,服饰鞋包,,HUMAN_REVIEWED,15 类固定映射
Moda,Ropa,C05,服饰鞋包,服装,HUMAN_REVIEWED,15 类固定映射
Moda,Ropa interior,C05,服饰鞋包,,HUMAN_REVIEWED,15 类固定映射
Moda,Textil parte inferior,C05,服饰鞋包,下装纺织,HUMAN_REVIEWED,15 类固定映射
Moda,Zapatos,C05,服饰鞋包,鞋靴,HUMAN_REVIEWED,15 类固定映射
Multimedia,,C11,数码影音,,CAT1_CONFIRMED,15 类固定映射
Multimedia,Accesorios de oficina,C11,数码影音,办公配件,CAT1_CONFIRMED,15 类固定映射
Multimedia,Accesorios de viaje,C11,数码影音,,CAT1_CONFIRMED,15 类固定映射
Multimedia,Accesorios multimedia,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Artículos de acampada,C11,数码影音,,CAT1_CONFIRMED,15 类固定映射
Multimedia,Audio,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Baterías externas y cargadores,C11,数码影音,移动电源和充电器,HUMAN_REVIEWED,15 类固定映射
Multimedia,Cables y divisores,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Cascos de teléfono,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Coche,C11,数码影音,汽车用品,HUMAN_REVIEWED,15 类固定映射
Multimedia,Gafas y lentes,C11,数码影音,,CAT1_CONFIRMED,15 类固定映射
Multimedia,Iluminación,C11,数码影音,照明,HUMAN_REVIEWED,15 类固定映射
Multimedia,Pilas,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Ropa,C11,数码影音,服装,HUMAN_REVIEWED,15 类固定映射
Multimedia,Tarjetas de memoria,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Multimedia,Videojuegos,C11,数码影音,,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,,C02,办公文具,,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Accesorios,C02,办公文具,配饰,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Accesorios de oficina,C02,办公文具,办公配件,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Accesorios de viaje,C02,办公文具,,CAT1_CONFIRMED,15 类固定映射
Oficina y papelería,Artículos de papel,C02,办公文具,纸品,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Cartuchos de tinta,C02,办公文具,,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Colorear y dibujar,C02,办公文具,涂色和绘画,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Maletas,C02,办公文具,,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Manualidades,C02,办公文具,手工制作,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Material escolar,C02,办公文具,学习用品,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Organizadores de despensa,C02,办公文具,储物收纳,HUMAN_REVIEWED,15 类固定映射
Oficina y papelería,Papelería,C02,办公文具,文具,HUMAN_REVIEWED,15 类固定映射
Viajes,,C09,旅行用品,,CAT1_CONFIRMED,15 类固定映射
Viajes,Accesorios,C09,旅行用品,配饰,HUMAN_REVIEWED,15 类固定映射
Viajes,Accesorios de viaje,C09,旅行用品,,HUMAN_REVIEWED,15 类固定映射
Viajes,Artículos de acampada,C09,旅行用品,,HUMAN_REVIEWED,15 类固定映射
Viajes,Iluminación,C09,旅行用品,照明,HUMAN_REVIEWED,15 类固定映射
Viajes,Juegos,C09,旅行用品,游戏,HUMAN_REVIEWED,15 类固定映射
Viajes,Maletas,C09,旅行用品,,HUMAN_REVIEWED,15 类固定映射
Viajes,Material escolar,C09,旅行用品,学习用品,HUMAN_REVIEWED,15 类固定映射
Viajes,Ropa para la lluvia,C09,旅行用品,,HUMAN_REVIEWED,15 类固定映射
Viajes,Salud,C09,旅行用品,,HUMAN_REVIEWED,15 类固定映射
Viajes,Textil parte inferior,C09,旅行用品,下装纺织,HUMAN_REVIEWED,15 类固定映射
Vivienda,,C07,家居布置,,HUMAN_REVIEWED,15 类固定映射
Vivienda,Accesorios de baño,C07,家居布置,,HUMAN_REVIEWED,15 类固定映射
Vivienda,Accesorios de cama,C07,家居布置,床上用品,HUMAN_REVIEWED,15 类固定映射
Vivienda,Cojines,C07,家居布置,靠垫,HUMAN_REVIEWED,15 类固定映射
Vivienda,Decoración,C07,家居布置,家居装饰,HUMAN_REVIEWED,15 类固定映射
Vivienda,Lámparas,C07,家居布置,,HUMAN_REVIEWED,15 类固定映射
Vivienda,Maletas,C07,家居布置,,CAT1_CONFIRMED,15 类固定映射
Vivienda,Mantas de viaje y mantas,C07,家居布置,旅行毯和毯子,HUMAN_REVIEWED,15 类固定映射
Vivienda,Muebles,C07,家居布置,,HUMAN_REVIEWED,15 类固定映射
Vivienda,Textil de baño,C07,家居布置,浴室纺织,HUMAN_REVIEWED,15 类固定映射
个人护理,,C06,个人美容,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
兴趣爱好,,C13,兴趣手作,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
办公文具,,C02,办公文具,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
厨房,,C04,厨房餐具,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
园艺,,C14,园艺户外,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
宠物,,C03,宠物用品,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
家居,,C07,家居布置,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
家居维修,,C01,DIY五金,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
家庭日用,,C08,家务清洁,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
数码多媒体,,C11,数码影音,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
旅行,,C09,旅行用品,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
时尚,,C05,服饰鞋包,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
玩具,,C12,玩具,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
运动用品,,C15,运动用品,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
食品饮料,,C10,食品饮料,,UNREVIEWED,首次由 Master 事实记录发现；等待分类字典确认
